Taxa;Ancylus fluviatilis;Lepidostoma hirtum;Stylodrilus heringianus;Baetis;Elmis;Esolus;Gammarus;Hydropsyche;Leuctra;Limnius;Polycentropus;Potamopyrgus;Rhyacophila;Ephemerella;Chironomidae
Ancylus fluviatilis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lepidostoma hirtum;0;0;0;0;0;0;0;0;0;0;0.45;0;0.63;0;0
Stylodrilus heringianus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Baetis;0;0;0;0;0;0;0;0;0;0;0.45;0;0.63;0;0
Elmis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Esolus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gammarus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hydropsyche;0;0;0;0;0;0;0;0;0;0;0.23;0;0.35;0;0
Leuctra;0;0;0;0;0;0;0;0;0;0;0.45;0;0.63;0;0
Limnius;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Polycentropus;0;-0.36;0;-0.36;0;0;0;-0.18;-0.36;0;0;0;0;0;-0.36
Potamopyrgus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rhyacophila;0;-0.51;0;-0.51;0;0;0;-0.28;-0.51;0;0;0;0;-0.63;-0.51
Ephemerella;0;0;0;0;0;0;0;0;0;0;0;0;0.78;0;0
Chironomidae;0;0;0;0;0;0;0;0;0;0;0.45;0;0.64;0;0
