"nodes";"posoutlet";"Xnode";"Ynode";"width";"depth";"lengs";"vel"
1;1;0.5;0.5;1;1;0;1
2;1;6.5;10.5;0.844906614662236;0.873870277426328;3.82842712474619;0.966855878369735
3;1;12.5;11.5;0.494599743479513;0.569381181702688;3.41421356237309;0.868661907652888
4;1;12.5;22.5;0.548880252195322;0.618845282582912;4.24264068711929;0.886942613353093
5;1;4.5;7.5;0.881394048510653;0.903932686563293;5.24264068711929;0.975066021632285
6;1;9.5;10.5;0.512538108339273;0.585842574087185;3.82842712474619;0.874873440425306
7;1;9.5;19.5;0.601511767341255;0.665878974885855;5.24264068711929;0.903334975314945
8;1;5.5;3.5;0.989939628841072;0.991943573422903;2.82842712474619;0.997979779661342
9;1;6.5;15.5;0.626170778422309;0.687629083749243;5.82842712474619;0.910622882627596
10;1;3.5;1.5;0.995595770129624;0.996475061584042;3.41421356237309;0.999117598133345
